Record_ID,Plant_ID,Stack_ID,Flow_Rate_m3_hr,TS,PM2.5,SO2,NOx,Unit,Status,Lat_Lon
E00001,PL-01,S-01,2033.5,01-01-2025 00:00,170.3,119.3,103.4,ug/m3,down,"13.083,80.2702"
E00002,PL-01,S-02,3377.9,01-01-2025 00:00,<2.0,94.2,31.6,µg/m³,MAINT,"13.0839,80.2721"
E00003,PL-02,S-01,3798.4,01-01-2025 00:00,123.9,,101.3,mg/Nm3,FAULT,"19.0763,72.8777"
E00004,PL-03,S-01,3121.2,01-01-2025 00:00,117.8,147.1,100.8,ug/m3,OK,"12.9719,77.5955"
E00005,PL-03,S-02,3700.5,31-12-2024 24:00,37.0,15.0,157.1,mg/Nm3,FAULT,"12.9722,77.5941"
E00006,PL-03,S-03,1117.8,01-01-2025 00:00,197.4,48.6,111.6,ug/m3,FAULT,"12.9726,77.5939"
E00007,LOC-DEL-01,A-01,0,01-01-2025 00:00,111.9,207.0,132.8,ug/m3,DOWN  ,"28.6138,77.2087"
E00008,LOC-DEL-02,A-02,NULL,01-01-2025 00:00,187.8,159.2,147.2,ug/m3,OK,"28.6209,77.2149"
E00009,LOC-MUM-01,A-01,0,01-01-2025 00:00,196.5,80.0,124.5,ug/m3,DOWN  ,"19.0757,72.877"
E00010,LOC-BLR-01,A-01,,01-01-2025 00:00,128.8,198.3,125.9,ug/m3,OK,"12.9717,77.5954"
E00012,PL-01,S-02,4877.2,01-01-2025 00:15,132.4,105.7,117.5,ug/m3,MAINT,"13.0821,80.2716"
E00014,PL-03,S-01,1537.3,01-01-2025 00:15,103.0,204.9,6500.0,ug/m3,  MAINT ,"12.9722,77.5944"
E00015,PL-03,S-02,2640.2,01-01-2025 00:15,70.1,93.3,110.1,ug/m3,MAINT,"12.9729,77.5953"
E00016,PL-03,S-03,4669.4,01-01-2025 00:15,172.1,187.2,83.3,ug/m3,offline,"12.9721,77.5956"
E00017,LOC-DEL-01,A-01,0.0,01-01-2025 00:15,188.7,130.6,20.3,ug/m3,OK,"77.209,28.6139"
E00018,LOC-DEL-02,A-02,,01-01-2025 00:15,-1.9,90.6,145.1,ug/m3,MAINT,"28.6193,77.2145"
E00019,LOC-MUM-01,A-01,0.0,01-01-2025 00:15,177.5,122.2,103.9,ug/m3,OK,"19.0766,72.8775"
E00020,LOC-BLR-01,A-01,0.0,01-01-2025 00:15,71.9,102.4,133.6,mg/Nm3,FAULT,"12.9706,77.5953"
E00021,PL-01,S-01,2886.7,01-01-2025 00:30,15.0,< 4.0,63.3,mg/Nm3,FAULT,"13.0822,80.2706"
E00022,PL-01,S-02,3271.6,31-12-2024 19:00 UTC,163.3,109.8,85.6,ug/m3,DOWN  ,13.083;80.2712
E00023,PL-02,S-01,3144.3,01-01-2025 00:30,147.6,9999.0,179.6,ug/m3,FAULT,"19.0766,72.8782"
E00024,PL-03,S-01,4745.4,01-01-2025 00:30,202.3,,64.1,µg/m³,offline,"12.9712,77.5945"
