Plant_ID,Stack_ID,TS,Source_Type,Sector,PM2.5,SO2,NOx,Unit,Status,Lat,Lon,AQI_Overall,AQI_Category,Any_Exceedance,Hour,DayOfWeek
LOC-BLR-01,A-01,2025-01-01 00:00:00,Ambient,,128.60000000000002,198.1,125.7,ug/m3,OK,12.97,77.6,297.15,Poor,True,0.0,Wednesday
PL-03,S-02,2025-01-01 00:00:00,Stack,Steel,409.6,448.7,466.1,ug/m3,FAULT,12.97,77.59,819.2,Severe,True,0.0,Wednesday
PL-03,S-01,2025-01-01 00:00:00,Stack,Steel,106.36363636363636,132.99999999999997,90.9090909090909,ug/m3,OK,12.97,77.6,212.72727272727272,Poor,False,0.0,Wednesday
PL-02,S-01,2025-01-01 00:00:00,Stack,Cement,409.6,448.7,466.1,ug/m3,FAULT,19.08,72.88,819.2,Severe,True,0.0,Wednesday
PL-01,S-02,2025-01-01 00:00:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,0.0,Wednesday
PL-01,S-01,2025-01-01 00:00:00,Stack,Power,166.47058823529412,116.47058823529412,100.88235294117648,ug/m3,DOWN,13.08,80.27,332.94117647058823,Very Poor,True,0.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 00:00:00,Ambient,,192.7450980392157,78.52941176470587,122.15686274509802,ug/m3,DOWN,19.08,72.88,385.4901960784314,Very Poor,True,0.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 00:00:00,Ambient,,189.6969696969697,160.8080808080808,148.68686868686868,ug/m3,OK,28.62,77.21,379.3939393939394,Very Poor,True,0.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 00:00:00,Ambient,,111.8,206.9,132.70000000000002,ug/m3,DOWN,28.61,77.21,310.35,Very Poor,True,0.0,Wednesday
PL-03,S-03,2025-01-01 00:00:00,Stack,Steel,195.44554455445544,48.11881188118812,110.49504950495049,ug/m3,FAULT,12.97,77.59,390.8910891089109,Very Poor,True,0.0,Wednesday
PL-01,S-01,2025-01-01 00:15:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,0.0,Wednesday
