Plant_ID,Date,PM25_Avg,SO2_Avg,NOx_Avg,Readings,Exceedances,AQI_Avg
PL-01,2025-01-01,215.79,216.08,234.65,166,85,507.99
PL-01,2025-01-02,206.7,212.02,210.47,175,78,495.49
PL-01,2025-01-03,197.55,201.21,200.59,178,88,483.64
PL-01,2025-01-04,178.64,203.33,200.04,176,87,467.84
PL-01,2025-01-05,212.21,238.87,239.77,177,80,516.77
PL-01,2025-01-06,177.86,182.08,199.02,175,78,452.2
PL-01,2025-01-07,184.1,184.61,201.19,178,79,457.91
PL-01,2025-01-08,209.34,190.28,209.05,175,85,490.93
PL-01,2025-01-09,176.32,173.65,190.16,180,74,442.77
PL-01,2025-01-10,180.6,185.58,198.98,175,79,445.98
PL-01,2025-01-11,192.32,218.15,236.89,179,87,497.58
PL-01,2025-01-12,190.98,190.38,192.46,177,83,462.6
PL-01,2025-01-13,184.08,186.26,173.18,176,82,464.86
PL-01,2025-01-14,199.14,217.33,199.28,177,95,497.75
PL-01,2025-01-15,193.93,196.09,213.96,174,86,480.51
PL-01,2025-01-16,208.25,215.33,208.59,175,90,513.82
PL-01,2025-01-17,185.01,175.59,206.51,180,80,446.65
PL-01,2025-01-18,192.94,212.54,202.52,181,82,495.74
PL-01,2025-01-19,212.62,217.84,204.91,180,97,522.51
PL-01,2025-01-20,184.62,202.78,183.99,172,68,458.43
PL-01,2025-01-21,198.62,215.46,196.94,179,86,488.6
PL-01,2025-01-22,188.85,194.45,177.1,174,79,461.29
PL-01,2025-01-23,190.39,203.6,227.16,176,67,479.24
PL-01,2025-01-24,209.87,208.4,200.02,177,82,494.89
PL-01,2025-01-25,191.41,182.21,215.09,173,70,468.87
PL-01,2025-01-26,198.14,197.62,207.66,179,83,487.15
PL-01,2025-01-27,197.71,205.73,205.53,181,90,497.65
PL-01,2025-01-28,189.59,178.85,195.79,173,75,454.23
PL-01,2025-01-29,183.97,196.12,189.44,178,79,461.18
PL-01,2025-01-30,195.31,212.17,190.46,176,82,484.17
PL-02,2025-01-01,176.12,194.15,176.1,88,39,445.75
PL-02,2025-01-02,181.14,197.96,193.76,85,39,447.6
PL-02,2025-01-03,164.47,181.54,188.27,85,31,448.46
PL-02,2025-01-04,190.74,208.51,191.01,83,35,474.4
PL-02,2025-01-05,143.86,154.79,166.5,82,29,406.66
PL-02,2025-01-06,182.57,186.35,201.64,84,38,467.05
PL-02,2025-01-07,189.34,176.44,190.3,84,36,458.98
PL-02,2025-01-08,169.81,165.43,191.21,89,35,422.54
PL-02,2025-01-09,153.99,207.26,193.91,84,33,453.52
PL-02,2025-01-10,179.49,155.65,178.29,88,30,424.49
PL-02,2025-01-11,194.24,212.31,201.1,93,41,478.52
PL-02,2025-01-12,182.9,201.75,210.6,85,34,465.94
PL-02,2025-01-13,167.65,222.47,189.73,87,38,448.7
PL-02,2025-01-14,188.89,190.62,182.69,83,32,455.22
PL-02,2025-01-15,207.34,201.98,205.1,87,39,487.47
PL-02,2025-01-16,178.39,184.33,166.7,84,42,446.16
PL-02,2025-01-17,178.07,179.13,192.91,89,36,445.25
PL-02,2025-01-18,168.32,203.46,198.21,85,31,457.11
PL-02,2025-01-19,161.76,172.66,161.56,84,27,417.95
PL-02,2025-01-20,201.09,198.72,207.65,89,37,485.4
PL-02,2025-01-21,172.35,220.97,202.28,87,46,473.83
PL-02,2025-01-22,147.35,155.07,168.64,89,28,374.96
PL-02,2025-01-23,200.65,196.9,181.28,91,34,474.11
PL-02,2025-01-24,208.79,204.03,194.41,88,41,508.51
PL-02,2025-01-25,190.31,192.58,215.26,89,36,469.08
PL-02,2025-01-26,175.1,177.72,175.78,87,31,411.6
PL-02,2025-01-27,187.47,175.09,185.05,90,38,483.72
PL-02,2025-01-28,216.82,221.86,208.68,87,48,523.75
PL-02,2025-01-29,182.38,177.96,180.48,94,38,439.7
PL-02,2025-01-30,168.28,215.9,176.49,88,35,459.64
PL-03,2025-01-01,195.59,185.69,207.33,262,111,459.63
PL-03,2025-01-02,177.01,178.9,189.8,261,98,433.37
PL-03,2025-01-03,180.52,181.79,190.11,261,107,450.68
PL-03,2025-01-04,186.65,208.99,191.46,275,113,467.29
PL-03,2025-01-05,179.84,190.42,184.95,267,99,438.61
PL-03,2025-01-06,174.86,176.69,180.91,263,105,421.94
PL-03,2025-01-07,188.01,186.04,182.35,267,101,447.47
PL-03,2025-01-08,181.57,198.76,205.01,258,102,449.8
PL-03,2025-01-09,178.93,196.43,177.95,266,109,448.18
PL-03,2025-01-10,189.4,201.42,195.37,260,114,457.22
PL-03,2025-01-11,171.83,178.63,170.59,263,107,428.73
PL-03,2025-01-12,183.31,188.43,186.86,273,113,445.06
PL-03,2025-01-13,187.95,187.96,188.04,269,115,452.02
PL-03,2025-01-14,177.82,198.99,172.7,260,109,451.2
PL-03,2025-01-15,212.15,190.7,187.98,266,116,486.63
PL-03,2025-01-16,193.01,193.49,189.89,257,108,452.58
PL-03,2025-01-17,175.93,171.97,182.73,268,101,425.78
PL-03,2025-01-18,181.51,213.65,201.17,266,120,481.81
PL-03,2025-01-19,182.1,183.62,200.95,261,92,432.76
PL-03,2025-01-20,193.42,184.61,170.64,270,111,462.99
PL-03,2025-01-21,184.44,195.95,194.28,246,98,449.16
PL-03,2025-01-22,198.09,196.86,182.65,257,112,465.25
PL-03,2025-01-23,191.91,179.95,188.62,268,101,471.43
PL-03,2025-01-24,181.96,195.13,195.61,264,91,448.37
PL-03,2025-01-25,173.49,191.31,184.65,259,110,423.6
PL-03,2025-01-26,182.04,183.52,193.65,262,98,451.07
