Record_ID,Plant_ID,Stack_ID,Flow_Rate_m3_hr,TS,PM2.5,SO2,NOx,Unit,Status,Lat,Lon,Source_Type,Exceedance_Flag
E00010,LOC-BLR-01,A-01,,2025-01-01 00:00:00,128.60000000000002,198.10000000000002,125.7,ug/m3,OK,12.9717,77.5954,Ambient,EXCEEDANCE
E00020,LOC-BLR-01,A-01,0.0,2025-01-01 00:15:00,409.6,448.7,466.1,ug/m3,FAULT,12.9706,77.5953,Ambient,EXCEEDANCE
E00030,LOC-BLR-01,A-01,,2025-01-01 00:30:00,34.4,128.60000000000002,102.6,ug/m3,OK,12.9708,77.5941,Ambient,EXCEEDANCE
E00040,LOC-BLR-01,A-01,0.0,2025-01-01 00:45:00,119.89999999999999,400.68591194968553,73.39999999999999,ug/m3,OK,12.9712,77.5956,Ambient,EXCEEDANCE
E00050,LOC-BLR-01,A-01,0.0,2025-01-01 01:00:00,,,,ug/m3,MAINT,12.9713,77.5936,Ambient,OK
E00060,LOC-BLR-01,A-01,,2025-01-01 01:15:00,150.0,138.8,407.66356460324056,ug/m3,FAULT,12.9721,77.5941,Ambient,EXCEEDANCE
E00070,LOC-BLR-01,A-01,,2025-01-01 01:30:00,,,,ug/m3,MAINT,12.9706,77.5948,Ambient,OK
E00080,LOC-BLR-01,A-01,,2025-01-01 01:45:00,383.3647793505412,127.6,105.7,ug/m3,OK,12.9709,77.5955,Ambient,EXCEEDANCE
E00100,LOC-BLR-01,A-01,,2025-01-01 02:15:00,261.40000000000003,71.7,140.5,ug/m3,FAULT,12.9713,77.5945,Ambient,EXCEEDANCE
E00110,LOC-BLR-01,A-01,,2025-01-01 02:30:00,,,,ug/m3,MAINT,12.9717,77.5936,Ambient,OK
E00120,LOC-BLR-01,A-01,,2025-01-01 02:45:00,188.3,124.89999999999999,199.60000000000002,ug/m3,OK,12.9724,77.5943,Ambient,EXCEEDANCE
E00130,LOC-BLR-01,A-01,,2025-01-01 03:00:00,383.3647793505412,104.0,138.4,ug/m3,OK,12.9718,77.5947,Ambient,EXCEEDANCE
E00140,LOC-BLR-01,A-01,,2025-01-01 03:15:00,,,,ug/m3,MAINT,12.972,77.5952,Ambient,OK
E00150,LOC-BLR-01,A-01,0.0,2025-01-01 03:30:00,147.3,448.7,109.6,ug/m3,OK,12.9709,77.5954,Ambient,EXCEEDANCE
E00160,LOC-BLR-01,A-01,0.0,2025-01-01 03:45:00,232.60000000000002,400.68591194968553,96.7,ug/m3,OK,12.9725,77.5949,Ambient,EXCEEDANCE
E00170,LOC-BLR-01,A-01,,2025-01-01 04:00:00,271.0,184.20000000000002,407.66356460324056,ug/m3,OK,12.971,77.5938,Ambient,EXCEEDANCE
E00180,LOC-BLR-01,A-01,0.0,2025-01-01 04:15:00,60.199999999999996,50.699999999999996,14.8,ug/m3,OK,12.9723,77.5955,Ambient,EXCEEDANCE
E00190,LOC-BLR-01,A-01,,2025-01-01 04:30:00,,,,ug/m3,MAINT,12.9724,77.5954,Ambient,OK
E00200,LOC-BLR-01,A-01,0.0,2025-01-01 04:45:00,138.5,283.5,224.8,ug/m3,OK,12.9722,77.5954,Ambient,EXCEEDANCE
E00210,LOC-BLR-01,A-01,,2025-01-01 05:00:00,,,,ug/m3,MAINT,12.9726,77.5953,Ambient,OK
E00220,LOC-BLR-01,A-01,0.0,2025-01-01 05:15:00,108.1,400.68591194968553,159.4,ug/m3,FAULT,12.9707,77.595,Ambient,EXCEEDANCE
E00230,LOC-BLR-01,A-01,,2025-01-01 05:30:00,383.3647793505412,400.68591194968553,182.0,ug/m3,OK,12.9715,77.5955,Ambient,EXCEEDANCE
E00240,LOC-BLR-01,A-01,0.0,2025-01-01 05:45:00,409.6,448.7,466.1,ug/m3,OK,12.972,77.594,Ambient,EXCEEDANCE
E00250,LOC-BLR-01,A-01,0.0,2025-01-01 06:00:00,,,,ug/m3,MAINT,12.9722,77.5939,Ambient,OK
E00260,LOC-BLR-01,A-01,0.0,2025-01-01 06:15:00,156.0,208.5,176.8,ug/m3,FAULT,12.9706,77.5948,Ambient,EXCEEDANCE
E00290,LOC-BLR-01,A-01,0.0,2025-01-01 07:00:00,,,,ug/m3,MAINT,12.9711,77.5946,Ambient,OK
E00300,LOC-BLR-01,A-01,0.0,2025-01-01 07:15:00,103.0,262.6,104.1,ug/m3,FAULT,12.9718,77.5942,Ambient,EXCEEDANCE
E00310,LOC-BLR-01,A-01,,2025-01-01 07:30:00,,,,ug/m3,MAINT,12.9725,77.5948,Ambient,OK
E00320,LOC-BLR-01,A-01,,2025-01-01 07:45:00,195.10000000000002,18.900000000000002,187.10000000000002,ug/m3,DOWN,12.9726,77.5945,Ambient,EXCEEDANCE
E00330,LOC-BLR-01,A-01,0.0,2025-01-01 08:00:00,153.3,34.0,113.5,ug/m3,OFFLINE,12.9725,77.5947,Ambient,EXCEEDANCE
E00340,LOC-BLR-01,A-01,,2025-01-01 08:15:00,159.70000000000002,121.6,77.39999999999999,ug/m3,OK,12.9723,77.5939,Ambient,EXCEEDANCE
E00350,LOC-BLR-01,A-01,0.0,2025-01-01 08:30:00,,,,ug/m3,MAINT,12.9706,77.5948,Ambient,OK
E00360,LOC-BLR-01,A-01,0.0,2025-01-01 08:45:00,260.90000000000003,161.70000000000002,80.3,ug/m3,OK,12.9707,77.5944,Ambient,EXCEEDANCE
E00380,LOC-BLR-01,A-01,0.0,2025-01-01 09:15:00,110.8,73.6,99.8,ug/m3,FAULT,12.9725,77.5948,Ambient,EXCEEDANCE
E00390,LOC-BLR-01,A-01,0.0,2025-01-01 09:30:00,102.2,141.3,200.70000000000002,ug/m3,UNKNOWN,12.9716,77.5947,Ambient,EXCEEDANCE
E00410,LOC-BLR-01,A-01,0.0,2025-01-01 10:00:00,,,,ug/m3,MAINT,12.972,77.5953,Ambient,OK
E00420,LOC-BLR-01,A-01,0.0,2025-01-01 10:15:00,,,,ug/m3,MAINT,12.9713,77.5944,Ambient,OK
E00430,LOC-BLR-01,A-01,,2025-01-01 10:30:00,,,,ug/m3,MAINT,12.9707,77.5943,Ambient,OK
E00440,LOC-BLR-01,A-01,,2025-01-01 10:45:00,32.099999999999994,185.20000000000002,118.3,ug/m3,OK,12.9719,77.5945,Ambient,EXCEEDANCE
E00450,LOC-BLR-01,A-01,0.0,2025-01-01 11:00:00,140.5,176.20000000000002,407.66356460324056,ug/m3,OK,12.9723,77.5945,Ambient,EXCEEDANCE
E00460,LOC-BLR-01,A-01,0.0,2025-01-01 11:15:00,409.6,448.7,466.1,ug/m3,OK,12.9717,77.595,Ambient,EXCEEDANCE
E00470,LOC-BLR-01,A-01,0.0,2025-01-01 11:30:00,383.3647793505412,78.0,152.3,ug/m3,FAULT,12.9708,77.5939,Ambient,EXCEEDANCE
E00480,LOC-BLR-01,A-01,0.0,2025-01-01 11:45:00,,,,ug/m3,MAINT,12.9717,77.5942,Ambient,OK
E00490,LOC-BLR-01,A-01,,2025-01-01 12:00:00,51.9,107.3,256.40000000000003,ug/m3,ERROR,12.9711,77.5946,Ambient,EXCEEDANCE
E00500,LOC-BLR-01,A-01,0.0,2025-01-01 12:15:00,98.3,186.10000000000002,231.9,ug/m3,FAULT,12.971,77.5936,Ambient,EXCEEDANCE
E00510,LOC-BLR-01,A-01,0.0,2025-01-01 12:30:00,41.0,186.10000000000002,407.66356460324056,ug/m3,OK,12.9725,77.5942,Ambient,EXCEEDANCE
E00520,LOC-BLR-01,A-01,,2025-01-01 12:45:00,57.8,135.4,407.66356460324056,ug/m3,FAULT,12.9726,77.5954,Ambient,EXCEEDANCE
E00530,LOC-BLR-01,A-01,0.0,2025-01-01 13:00:00,383.3647793505412,54.5,14.8,ug/m3,ERROR,12.9717,77.5938,Ambient,EXCEEDANCE
E00540,LOC-BLR-01,A-01,,2025-01-01 13:15:00,,,,ug/m3,MAINT,12.9718,77.5953,Ambient,OK
E00550,LOC-BLR-01,A-01,,2025-01-01 13:30:00,,,,ug/m3,MAINT,12.9722,77.594,Ambient,OK
E00560,LOC-BLR-01,A-01,,2025-01-01 13:45:00,37.4,152.20000000000002,130.60000000000002,ug/m3,OK,12.971,77.5951,Ambient,EXCEEDANCE
E00570,LOC-BLR-01,A-01,,2025-01-01 14:00:00,16.0,148.4,83.8,ug/m3,OK,12.9709,77.5949,Ambient,EXCEEDANCE
E00580,LOC-BLR-01,A-01,0.0,2025-01-01 14:15:00,137.9,14.8,47.9,ug/m3,FAULT,12.9725,77.5949,Ambient,EXCEEDANCE
E00590,LOC-BLR-01,A-01,0.0,2025-01-01 14:30:00,140.0,124.5,98.7,ug/m3,ERROR,12.9711,77.594,Ambient,EXCEEDANCE
E00600,LOC-BLR-01,A-01,,2025-01-01 14:45:00,,,,ug/m3,MAINT,12.9725,77.5955,Ambient,OK
E00610,LOC-BLR-01,A-01,0.0,2025-01-01 15:00:00,,,,ug/m3,MAINT,12.9714,77.5946,Ambient,OK
