Rule,Step,Record_ID,Column,Old,New
R1,Timestamp cleaned,,,,
R17,UTC converted to IST,,,,
R2,,E00002,Unit,µg/m³,ug/m3
R2,,E00003,Unit,mg/Nm3,mg/nm3
R2,,E00005,Unit,mg/Nm3,mg/nm3
R2,,E00020,Unit,mg/Nm3,mg/nm3
R2,,E00021,Unit,mg/Nm3,mg/nm3
R2,,E00024,Unit,µg/m³,ug/m3
R2,,E00025,Unit,µg/m³,ug/m3
R2,,E00028,Unit,mg/Nm3,mg/nm3
R2,,E00038,Unit,mg/Nm3,mg/nm3
R2,,E00044,Unit,mg/Nm3,mg/nm3
R2,,E00045,Unit,µg/m³,ug/m3
R2,,E00046,Unit,mg/Nm3,mg/nm3
R2,,E00048,Unit,µg/m³,ug/m3
R2,,E00054,Unit,mg/Nm3,mg/nm3
R2,,E00071,Unit,mg/Nm3,mg/nm3
R2,,E00072,Unit,mg/Nm3,mg/nm3
R2,,E00084,Unit,µg/m³,ug/m3
R2,,E00088,Unit,µg/m³,ug/m3
R2,,E00100,Unit,µg/m³,ug/m3
R2,,E00104,Unit,mg/Nm3,mg/nm3
R2,,E00110,Unit,µg/m³,ug/m3
R2,,E00111,Unit,mg/Nm3,mg/nm3
R2,,E00112,Unit,mg/Nm3,mg/nm3
R2,,E00113,Unit,µg/m³,ug/m3
R2,,E00122,Unit,mg/Nm3,mg/nm3
R2,,E00131,Unit,µg/m³,ug/m3
R2,,E00133,Unit,mg/Nm3,mg/nm3
R2,,E00146,Unit,mg/Nm3,mg/nm3
R2,,E00167,Unit,mg/Nm3,mg/nm3
R2,,E00183,Unit,mg/Nm3,mg/nm3
R2,,E00192,Unit,mg/Nm3,mg/nm3
R2,,E00202,Unit,mg/Nm3,mg/nm3
R2,,E00203,Unit,µg/m³,ug/m3
R2,,E00207,Unit,µg/m³,ug/m3
R2,,E00210,Unit,mg/Nm3,mg/nm3
R2,,E00213,Unit,µg/m³,ug/m3
R2,,E00224,Unit,mg/Nm3,mg/nm3
R2,,E00226,Unit,mg/Nm3,mg/nm3
R2,,E00228,Unit,mg/Nm3,mg/nm3
R2,,E00229,Unit,mg/Nm3,mg/nm3
R2,,E00231,Unit,mg/Nm3,mg/nm3
R2,,E00236,Unit,µg/m³,ug/m3
R2,,E00240,Unit,mg/Nm3,mg/nm3
R2,,E00244,Unit,µg/m³,ug/m3
R2,,E00247,Unit,µg/m³,ug/m3
R2,,E00257,Unit,µg/m³,ug/m3
R2,,E00281,Unit,mg/Nm3,mg/nm3
R2,,E00285,Unit,mg/Nm3,mg/nm3
R2,,E00289,Unit,mg/Nm3,mg/nm3
R2,,E00290,Unit,mg/Nm3,mg/nm3
R2,,E00296,Unit,mg/Nm3,mg/nm3
R2,,E00308,Unit,µg/m³,ug/m3
R2,,E00312,Unit,µg/m³,ug/m3
R2,,E00314,Unit,mg/Nm3,mg/nm3
R2,,E00317,Unit,µg/m³,ug/m3
R2,,E00318,Unit,mg/Nm3,mg/nm3
R2,,E00332,Unit,µg/m³,ug/m3
R2,,E00346,Unit,mg/Nm3,mg/nm3
R2,,E00351,Unit,µg/m³,ug/m3
R2,,E00357,Unit,µg/m³,ug/m3
R2,,E00367,Unit,µg/m³,ug/m3
R2,,E00376,Unit,mg/Nm3,mg/nm3
R2,,E00377,Unit,µg/m³,ug/m3
R2,,E00381,Unit,µg/m³,ug/m3
R2,,E00385,Unit,µg/m³,ug/m3
R2,,E00388,Unit,mg/Nm3,mg/nm3
R2,,E00391,Unit,mg/Nm3,mg/nm3
R2,,E00393,Unit,mg/Nm3,mg/nm3
R2,,E00394,Unit,mg/Nm3,mg/nm3
R2,,E00398,Unit,mg/Nm3,mg/nm3
R2,,E00399,Unit,µg/m³,ug/m3
R2,,E00403,Unit,µg/m³,ug/m3
R2,,E00411,Unit,mg/Nm3,mg/nm3
R2,,E00413,Unit,µg/m³,ug/m3
R2,,E00422,Unit,µg/m³,ug/m3
R2,,E00425,Unit,µg/m³,ug/m3
R2,,E00435,Unit,mg/Nm3,mg/nm3
R2,,E00443,Unit,µg/m³,ug/m3
R2,,E00446,Unit,µg/m³,ug/m3
R2,,E00451,Unit,mg/Nm3,mg/nm3
R2,,E00452,Unit,mg/Nm3,mg/nm3
R2,,E00460,Unit,mg/Nm3,mg/nm3
R2,,E00468,Unit,µg/m³,ug/m3
R2,,E00471,Unit,mg/Nm3,mg/nm3
R2,,E00473,Unit,mg/Nm3,mg/nm3
R2,,E00475,Unit,µg/m³,ug/m3
R2,,E00480,Unit,µg/m³,ug/m3
R2,,E00482,Unit,mg/Nm3,mg/nm3
R2,,E00485,Unit,mg/Nm3,mg/nm3
R2,,E00491,Unit,µg/m³,ug/m3
R2,,E00497,Unit,µg/m³,ug/m3
R2,,E00502,Unit,mg/Nm3,mg/nm3
R2,,E00512,Unit,µg/m³,ug/m3
R2,,E00516,Unit,mg/Nm3,mg/nm3
R2,,E00522,Unit,mg/Nm3,mg/nm3
R2,,E00528,Unit,mg/Nm3,mg/nm3
R2,,E00531,Unit,mg/Nm3,mg/nm3
R2,,E00534,Unit,mg/Nm3,mg/nm3
R2,,E00543,Unit,µg/m³,ug/m3
R2,,E00550,Unit,mg/Nm3,mg/nm3
R2,,E00551,Unit,mg/Nm3,mg/nm3
R2,,E00558,Unit,mg/Nm3,mg/nm3
R2,,E00559,Unit,µg/m³,ug/m3
R2,,E00562,Unit,µg/m³,ug/m3
R2,,E00563,Unit,µg/m³,ug/m3
R2,,E00565,Unit,µg/m³,ug/m3
R2,,E00578,Unit,µg/m³,ug/m3
